"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 00:00","2019","02","01","00:00","5.6","","5.3","","98","","","","26","","7","","19.3","","100.16","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 01:00","2019","02","01","01:00","5.6","","5.4","","98","","","","28","","10","","16.1","","100.15","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 02:00","2019","02","01","02:00","5.4","","5.2","","98","","","","36","","2","","12.9","","100.09","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 03:00","2019","02","01","03:00","5.6","","5.4","","98","","","","25","","5","","9.7","","100.05","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 04:00","2019","02","01","04:00","5.6","","5.4","","99","","","","27","","5","","8.1","","99.99","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 05:00","2019","02","01","05:00","5.5","","5.4","","99","","","","36","","3","","4.8","","99.96","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 06:00","2019","02","01","06:00","5.6","","5.5","","99","","","","0","","1","","4.8","","99.91","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 07:00","2019","02","01","07:00","6.6","","6.5","","99","","","","11","","7","","3.2","","99.88","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 08:00","2019","02","01","08:00","6.4","","6.3","","99","","","","6","","4","","6.4","","99.85","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 09:00","2019","02","01","09:00","6.8","","6.7","","99","","","","5","","4","","9.7","","99.85","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 10:00","2019","02","01","10:00","7.4","","7.2","","99","","","","10","","3","","12.9","","99.87","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-02-01 11:00","2019","02","01","11:00","7.5","","7.1","","97","","","","10","","7","","19.3","","99.86","","","","","","Rain"
